%time bm_in carrier bask_out rec_wv lps_wv bm_out
6.8045e-06 1 0.987688340595 0.987688340595 0.987688340595 0.627486420611 1
6.805e-06 1 1 1 1 0.646215914737 1
6.8055e-06 1 0.987688340595 0.987688340595 0.987688340595 0.663987891382 1
6.806e-06 1 0.951056516295 0.951056516295 0.951056516295 0.679600220855 1
6.8065e-06 1 0.891006524188 0.891006524188 0.891006524188 0.691943036335 1
6.807e-06 1 0.809016994375 0.809016994375 0.809016994375 0.700024064294 1
6.8075e-06 1 0.707106781186 0.707106781186 0.707106781186 0.702991161551 1
6.808e-06 1 0.587785252292 0.587785252292 0.587785252292 0.700151498777 1
6.8085e-06 1 0.45399049974 0.45399049974 0.45399049974 0.690986913143 1
6.809e-06 1 0.309016994375 0.309016994375 0.309016994375 0.675165047367 1
6.8095e-06 1 0.15643446504 0.15643446504 0.15643446504 0.652545996429 1
6.81e-06 1 -2.75428388864e-13 -2.75428388864e-13 2.75428388864e-13 0.62318429405 1
6.8105e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.59532366496 1
6.811e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.576786385745 1
6.8115e-06 1 -0.45399049974 -0.45399049974 0.45399049974 0.566802851788 1
6.812e-06 1 -0.587785252293 -0.587785252293 0.587785252293 0.564455517059 1
6.8125e-06 1 -0.707106781186 -0.707106781186 0.707106781186 0.56869828271 1
6.813e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.578379214892 1
6.8135e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.592266024026 1
6.814e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.609073670202 1
6.8145e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.627493407418 1
6.815e-06 1 -1 -1 1 0.646222544355 1
6.8155e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.66399418207 1
6.816e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.679606189942 1
6.8165e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.691948700261 1
6.817e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.70002943866 1
6.8175e-06 1 -0.707106781186 -0.707106781186 0.707106781186 0.70299626116 1
6.818e-06 1 -0.587785252292 -0.587785252292 0.587785252292 0.700156337677 1
6.8185e-06 1 -0.453990499739 -0.453990499739 0.453990499739 0.690991504661 1
6.819e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.675169404151 1
6.8195e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.652550130479 1
6.82e-06 1 1.5096094947e-13 1.5096094947e-13 1.5096094947e-13 0.623188216753 1
6.8205e-06 1 0.15643446504 0.15643446504 0.15643446504 0.59532738712 1
6.821e-06 1 0.309016994375 0.309016994375 0.309016994375 0.576789917615 1
6.8215e-06 1 0.45399049974 0.45399049974 0.45399049974 0.566806203096 1
6.822e-06 1 0.587785252293 0.587785252293 0.587785252293 0.564458697037 1
6.8225e-06 1 0.707106781187 0.707106781187 0.707106781187 0.568701300116 1
6.823e-06 1 0.809016994375 0.809016994375 0.809016994375 0.578382078038 1
6.8235e-06 1 0.891006524188 0.891006524188 0.891006524188 0.592268740798 1
6.824e-06 1 0.951056516295 0.951056516295 0.951056516295 0.609076248083 1
6.8245e-06 1 0.987688340595 0.987688340595 0.987688340595 0.627495853509 1
6.825e-06 1 1 1 1 0.646224865393 1
6.8255e-06 1 0.987688340595 0.987688340595 0.987688340595 0.663996384448 1
6.826e-06 1 0.951056516295 0.951056516295 0.951056516295 0.679608279727 1
6.8265e-06 1 0.891006524188 0.891006524188 0.891006524188 0.691950683208 1
6.827e-06 1 0.809016994375 0.809016994375 0.809016994375 0.700031320232 1
6.8275e-06 1 0.707106781187 0.707106781187 0.707106781187 0.70299804654 1
6.828e-06 1 0.587785252292 0.587785252292 0.587785252292 0.700158031782 1
6.8285e-06 1 0.453990499739 0.453990499739 0.453990499739 0.690993112158 1
6.829e-06 1 0.309016994375 0.309016994375 0.309016994375 0.675170929466 1
6.8295e-06 1 0.15643446504 0.15643446504 0.15643446504 0.652551577815 1
6.83e-06 1 -2.64935100767e-14 -2.64935100767e-14 2.64935100767e-14 0.623189590096 1
6.8305e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.595328690253 1
6.831e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.576791154127 1
6.8315e-06 1 -0.453990499739 -0.453990499739 0.453990499739 0.566807376394 1
6.832e-06 1 -0.587785252292 -0.587785252292 0.587785252292 0.564459810351 1
6.8325e-06 1 -0.707106781187 -0.707106781187 0.707106781187 0.568702356514 1
6.833e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.578383080429 1
6.8335e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.592269691943 1
6.834e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.609077150602 1
6.8345e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.627496709888 1
6.835e-06 1 -1 -1 1 0.646225677991 1
6.8355e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.663997155504 1
6.836e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.679609011363 1
6.8365e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.691951377441 1
6.837e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.700031978973 1
6.8375e-06 1 -0.707106781186 -0.707106781186 0.707106781186 0.702998671604 1
6.838e-06 1 -0.587785252293 -0.587785252293 0.587785252293 0.70015862489 1
6.8385e-06 1 -0.45399049974 -0.45399049974 0.45399049974 0.690993674944 1
6.839e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.675171463481 1
6.8395e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.652552084529 1
6.84e-06 1 -9.79739293167e-14 -9.79739293167e-14 9.79739293167e-14 0.623190070905 1
6.8405e-06 1 0.15643446504 0.15643446504 0.15643446504 0.595329146482 1
6.841e-06 1 0.309016994375 0.309016994375 0.309016994375 0.576791587032 1
6.8415e-06 1 0.45399049974 0.45399049974 0.45399049974 0.566807787167 1
6.842e-06 1 0.587785252292 0.587785252292 0.587785252292 0.564460200124 1
6.8425e-06 1 0.707106781187 0.707106781187 0.707106781187 0.56870272636 1
6.843e-06 1 0.809016994375 0.809016994375 0.809016994375 0.578383431367 1
6.8435e-06 1 0.891006524188 0.891006524188 0.891006524188 0.592270024941 1
6.844e-06 1 0.951056516295 0.951056516295 0.951056516295 0.609077466576 1
6.8445e-06 1 0.987688340595 0.987688340595 0.987688340595 0.627497009708 1
6.845e-06 1 1 1 1 0.646225962483 1
6.8455e-06 1 0.987688340595 0.987688340595 0.987688340595 0.663997425451 1
6.846e-06 1 0.951056516295 0.951056516295 0.951056516295 0.67960926751 1
6.8465e-06 1 0.891006524188 0.891006524188 0.891006524188 0.691951620493 1
6.847e-06 1 0.809016994375 0.809016994375 0.809016994375 0.700032209599 1
6.8475e-06 1 0.707106781186 0.707106781186 0.707106781186 0.702998890439 1
6.848e-06 1 0.587785252292 0.587785252292 0.587785252292 0.700158832538 1
6.8485e-06 1 0.45399049974 0.45399049974 0.45399049974 0.690993871977 1
6.849e-06 1 0.309016994375 0.309016994375 0.309016994375 0.67517165044 1
6.8495e-06 1 0.15643446504 0.15643446504 0.15643446504 0.65255226193 1
6.85e-06 1 -2.32305982176e-13 -2.32305982176e-13 2.32305982176e-13 0.623190239237 1
6.8505e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.595329306208 1
6.851e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.576791738592 1
6.8515e-06 1 -0.45399049974 -0.45399049974 0.45399049974 0.566807930979 1
6.852e-06 1 -0.587785252293 -0.587785252293 0.587785252293 0.564460336584 1
